Product,Pack,Product_Type,Promotion,Placement,Price_API,Proposition,Launch_Month,Launch_Year,Region,iTO_Target,iTO_Achievement,Success
Shampoo-1,Standard,Shampoo,No,Local Store,1.14,Eco-friendly,August,2022,Dhaka,3,1,1
Toilet Cleaner-2,Standard,Shampoo,No,Online,0.53,Eco-friendly,February,2018,Feni,3,0,0
Toothpaste-3,Premium,Toothpaste,Yes,Supermarket,0.78,Eco-friendly,October,2019,Dhaka,4,1,1
Toilet Cleaner-4,Premium,Toothpaste,Yes,Supermarket,0.72,Organic,November,2019,Feni,4,4,1
Shampoo-5,Premium,Toilet Cleaner,Yes,Supermarket,1.24,Eco-friendly,January,2018,Comilla,4,0,0
Toilet Cleaner-6,Premium,Shampoo,Yes,Online,1.18,Eco-friendly,May,2020,Rajshahi,3,1,0
Shampoo-7,Premium,Toothpaste,Yes,Local Store,1.39,Organic,October,2022,Feni,2,2,1
Toothpaste-8,Standard,Toilet Cleaner,Yes,Online,0.59,Eco-friendly,September,2022,Chittagong,3,5,1
Toilet Cleaner-9,Standard,Toilet Cleaner,Yes,Supermarket,0.92,Organic,September,2019,Comilla,5,2,0
Toilet Cleaner-10,Standard,Toilet Cleaner,No,Online,0.53,Eco-friendly,November,2019,Comilla,3,2,1
Toothpaste-11,Standard,Toothpaste,No,Supermarket,0.72,Eco-friendly,March,2022,Feni,1,5,0
Toothpaste-12,Premium,Toothpaste,Yes,Local Store,1.01,Organic,August,2021,Rajshahi,2,4,0
Toothpaste-13,Premium,Shampoo,Yes,Local Store,0.53,Eco-friendly,August,2021,Comilla,1,4,0
Toilet Cleaner-14,Premium,Toothpaste,Yes,Local Store,0.7,New Flavor,December,2022,Comilla,3,2,1
Shampoo-15,Standard,Toothpaste,Yes,Local Store,1.15,Organic,July,2020,Dhaka,1,1,1
Shampoo-16,Standard,Shampoo,Yes,Local Store,1.04,Organic,February,2018,Rajshahi,1,0,0
Toilet Cleaner-17,Premium,Toothpaste,No,Supermarket,0.72,New Flavor,June,2020,Dhaka,5,5,1
Shampoo-18,Standard,Shampoo,Yes,Local Store,1.09,Eco-friendly,March,2022,Dhaka,1,3,0
Toilet Cleaner-19,Premium,Shampoo,No,Online,1.31,Eco-friendly,February,2019,Comilla,4,5,0
Toilet Cleaner-20,Standard,Toilet Cleaner,No,Local Store,0.51,Eco-friendly,October,2021,Rajshahi,2,5,1
Shampoo-21,Premium,Toothpaste,Yes,Local Store,1.31,Organic,February,2018,Comilla,3,1,0
Toothpaste-22,Premium,Toothpaste,Yes,Local Store,1.2,Organic,November,2021,Comilla,3,2,1
Toilet Cleaner-23,Premium,Toothpaste,Yes,Local Store,0.84,Organic,November,2018,Rajshahi,1,2,1
Toilet Cleaner-24,Standard,Toilet Cleaner,No,Supermarket,0.66,Eco-friendly,February,2018,Dhaka,5,5,1
Toilet Cleaner-25,Standard,Toilet Cleaner,No,Supermarket,1.46,Eco-friendly,September,2022,Rajshahi,2,0,0
Shampoo-26,Standard,Shampoo,Yes,Online,0.84,New Flavor,December,2019,Rajshahi,3,2,1
Toilet Cleaner-27,Standard,Toothpaste,Yes,Supermarket,0.59,New Flavor,January,2019,Dhaka,3,0,0
Toothpaste-28,Premium,Toilet Cleaner,No,Online,0.6,New Flavor,August,2019,Chittagong,4,1,1
Toothpaste-29,Premium,Shampoo,No,Online,1.35,Organic,September,2018,Feni,4,5,1
Toilet Cleaner-30,Standard,Shampoo,Yes,Online,1.1,Organic,September,2019,Chittagong,3,4,1
Toilet Cleaner-31,Premium,Toilet Cleaner,No,Local Store,1.31,Eco-friendly,April,2018,Chittagong,3,1,0
Toothpaste-32,Premium,Toothpaste,Yes,Supermarket,1.23,Eco-friendly,May,2019,Feni,2,0,0
Toilet Cleaner-33,Standard,Toilet Cleaner,No,Online,1.04,Organic,March,2022,Chittagong,1,0,0
Toothpaste-34,Premium,Toothpaste,Yes,Online,1.47,Organic,October,2022,Rajshahi,4,4,1
Shampoo-35,Standard,Toothpaste,No,Supermarket,0.88,Eco-friendly,August,2018,Chittagong,5,5,1
Toilet Cleaner-36,Premium,Toilet Cleaner,Yes,Supermarket,1.05,Eco-friendly,November,2021,Rajshahi,2,5,0
Toothpaste-37,Premium,Shampoo,Yes,Online,1.33,New Flavor,December,2019,Dhaka,3,5,0
Shampoo-38,Standard,Toothpaste,Yes,Online,1.12,Organic,June,2019,Chittagong,3,2,1
Shampoo-39,Standard,Shampoo,No,Online,1.36,New Flavor,December,2018,Chittagong,5,3,1
